Smartv,#genre#
Oasis,http://23.26.147.19:1258/Smartv.php?id=Oasis
Nickelodeon,http://23.26.147.19:1258/Smartv.php?id=Nickelodeon
Nick Jr,http://23.26.147.19:1258/Smartv.php?id=Nickjr
News 18 Tamil,http://23.26.147.19:1258/Smartv.php?id=news18tamil_raj
New,http://23.26.147.19:1258/Smartv.php?id=new_pat
Net TV,http://23.26.147.19:1258/Smartv.php?id=NetTV
Nation,http://23.26.147.19:1258/Smartv.php?id=nation_pat
国家地理,http://23.26.147.19:1258/Smartv.php?id=natgeohd_twn
地理野生动物,http://23.26.147.19:1258/Smartv.php?id=natgeowildtamil_raj
野生动物,http://23.26.147.19:1258/Smartv.php?id=natgeowild_twn
地理野生动物,http://23.26.147.19:1258/Smartv.php?id=Natgeowild
NatGeo Tamil,http://23.26.147.19:1258/Smartv.php?id=natgeotamil_raj
国家地理,http://23.26.147.19:1258/Smartv.php?id=Natgeo
More4,http://23.26.147.19:1258/Smartv.php?id=more4_antik
Momo TV,http://23.26.147.19:1258/Smartv.php?id=momo1_twn
MiaoMi,http://23.26.147.19:1258/Smartv.php?id=MiaoMi
Metro TV,http://23.26.147.19:1258/Smartv.php?id=metrotv_eko
Makkal TV,http://23.26.147.19:1258/Smartv.php?id=Makkaltv
AXNTaiwan,http://23.26.147.19:1258/Smartv.php?id=axn_twn
动物星球,http://23.26.147.19:1258/Smartv.php?id=AnimalPlanet
动物星球1,http://23.26.147.19:1258/Smartv.php?id=animalplanet_twn
Asianet,http://23.26.147.19:1258/Smartv.php?id=asianet_raj
Awani,http://23.26.147.19:1258/Smartv.php?id=Awani
AxnHD,http://23.26.147.19:1258/Smartv.php?id=Axn
Cinemax,http://23.26.147.19:1258/Smartv.php?id=cinemax_twn
CNBC,http://23.26.147.19:1258/Smartv.php?id=cnbc_twn
CelestialMoviesHD,http://23.26.147.19:1258/Smartv.php?id=Celestialindo
Channel3Thailand,http://23.26.147.19:1258/Smartv.php?id=ch3_pat
DiscoveryAsia,http://23.26.147.19:1258/Smartv.php?id=discoverytwn_twn
DiscoveryHD,http://23.26.147.19:1258/Smartv.php?id=discoveryhd_twn
DiscoveryKidsTamil,http://23.26.147.19:1258/Smartv.php?id=discoverykidtamil_raj
DiscoveryTurbo,http://23.26.147.19:1258/Smartv.php?id=discoveryturbo_twn
DiscoveryWorldTamil,http://23.26.147.19:1258/Smartv.php?id=discoveryworldtam_raj
BBC1,http://23.26.147.19:1258/Smartv.php?id=bbc1_antik
BBC2,http://23.26.147.19:1258/Smartv.php?id=bbc2_antik
BBCEarthHD,http://23.26.147.19:1258/Smartv.php?id=bbcearth_twn
BBCEarthTamil,http://23.26.147.19:1258/Smartv.php?id=bbcearthtam_raj
BBCWorldNews,http://23.26.147.19:1258/Smartv.php?id=bbcnews_twn
BTESPN,http://23.26.147.19:1258/Smartv.php?id=btespn
BTSports1,http://23.26.147.19:1258/Smartv.php?id=beeone
BTSports3,http://23.26.147.19:1258/Smartv.php?id=beethree
BloombergNews,http://23.26.147.19:1258/Smartv.php?id=bloomberg_twn
Boomerang,http://23.26.147.19:1258/Smartv.php?id=Boomerang
CBBC,http://23.26.147.19:1258/Smartv.php?id=cbbc_antik
CBSHD,http://23.26.147.19:1258/Smartv.php?id=cbshd_glo
CBSNHD,http://23.26.147.19:1258/Smartv.php?id=cbsn_glo
Muslim TV,http://23.26.147.19:1258/Smartv.php?id=MuslimTV
itv1,http://23.26.147.19:1258/Smartv.php?id=itv1_antik
tvNMovie,http://23.26.147.19:1258/Smartv.php?id=Tvnmovie
TVN,http://23.26.147.19:1258/Smartv.php?id=TVN
RTHK32,http://23.26.147.19:1258/Smartv.php?id=rhk32_twn
RTHK31,http://23.26.147.19:1258/Smartv.php?id=rhk31_twn
J2,http://23.26.147.19:1258/Smartv.php?id=j2_twn
无线财经资讯,http://23.26.147.19:1258/Smartv.php?id=tvbcaijing_twn
民视第一,http://23.26.147.19:1258/Smartv.php?id=lunghuajingdian_twn
龙华偶像,http://23.26.147.19:1258/Smartv.php?id=lunghuaidol_twn
龙华卡通,http://23.26.147.19:1258/Smartv.php?id=jingtiancartoon_twn
非凡新闻,http://23.26.147.19:1258/Smartv.php?id=feifannews_twn
美食星球,http://23.26.147.19:1258/Smartv.php?id=foodplanet_twn
Arirang,http://23.26.147.19:1258/Smartv.php?id=arirang_twn
爱尔达体育2,http://23.26.147.19:1258/Smartv.php?id=eltasport2_twn
爱尔达体育1,http://23.26.147.19:1258/Smartv.php?id=eltasport_twn
民视新闻,http://23.26.147.19:1258/Smartv.php?id=ftvnew_taiwan
民视台湾,http://23.26.147.19:1258/Smartv.php?id=ftvtaiwan_twn
民视,http://23.26.147.19:1258/Smartv.php?id=ftvhd_taiwan
年代新闻,http://23.26.147.19:1258/Smartv.php?id=niandainews_twn
好消息 2,http://23.26.147.19:1258/Smartv.php?id=good2_twn
大爱1台,http://23.26.147.19:1258/Smartv.php?id=daai_twn
博斯高球2,http://23.26.147.19:1258/Smartv.php?id=bosigolf2_twn
博斯运动 2,http://23.26.147.19:1258/Smartv.php?id=bosisport2_twn
博斯运动 1,http://23.26.147.19:1258/Smartv.php?id=bosisport1_twn
博斯网球,http://23.26.147.19:1258/Smartv.php?id=bositennis_twn
华视,http://23.26.147.19:1258/Smartv.php?id=ctshd_twn
公视,http://23.26.147.19:1258/Smartv.php?id=ctv_taiwan
八大综合,http://23.26.147.19:1258/Smartv.php?id=badazhonghe
中视新闻,http://23.26.147.19:1258/Smartv.php?id=zhongshinews_twn
中视,http://23.26.147.19:1258/Smartv.php?id=zhongshihd_twn
中天新闻,http://23.26.147.19:1258/Smartv.php?id=ctinews
中天娱乐,http://23.26.147.19:1258/Smartv.php?id=ctient
中天亚洲,http://23.26.147.19:1258/Smartv.php?id=ctiasia_twn
东森超视,http://23.26.147.19:1258/Smartv.php?id=ettvsuper
东森财经新闻,http://23.26.147.19:1258/Smartv.php?id=ettvcaijing_twn
东森戏剧,http://23.26.147.19:1258/Smartv.php?id=ettvdrama
三立综合,http://23.26.147.19:1258/Smartv.php?id=sanlizhonghe
三立戏剧,http://23.26.147.19:1258/Smartv.php?id=sanlixiju_twn
东森电影,http://23.26.147.19:1258/Smartv.php?id=ettvmovie
东森综合,http://23.26.147.19:1258/Smartv.php?id=ettvzhonghe
中天综合,http://23.26.147.19:1258/Smartv.php?id=ctizhonghe
八大综合,http://23.26.147.19:1258/Smartv.php?id=badazhonghe
八大戏剧,http://23.26.147.19:1258/Smartv.php?id=badadrama
八大第一,http://23.26.147.19:1258/Smartv.php?id=badafirst
八大第一,http://23.26.147.19:1258/Smartv.php?id=badafirst
小太阳,http://23.26.147.19:1258/Smartv.php?id=Xiaotaiyang
靖天卡通,http://23.26.147.19:1258/Smartv.php?id=jingtiancartoon_twn
靖天国际,http://23.26.147.19:1258/Smartv.php?id=jingtianintl_twn
TVBS News,http://23.26.147.19:1258/Smartv.php?id=tvbs_n
TVBS,http://23.26.147.19:1258/Smartv.php?id=tvbs
EYETV戏剧,http://23.26.147.19:1258/Smartv.php?id=eyetvxiju_twn
EYETV旅游,http://23.26.147.19:1258/Smartv.php?id=eyetvtravel_twn
TVBS欢乐,http://23.26.147.19:1258/Smartv.php?id=tvbshuanle_twn
Viu6,http://23.26.147.19:1258/Smartv.php?id=viusix_twn
国家地理,http://23.26.147.19:1258/Smartv.php?id=natgeohd_twn
野生动物,http://23.26.147.19:1258/Smartv.php?id=natgeowild_twn
Momo TV,http://23.26.147.19:1258/Smartv.php?id=momo1_twn
亚洲旅游,http://23.26.147.19:1258/Smartv.php?id=asiatravel_twn
AXNTaiwan,http://23.26.147.19:1258/Smartv.php?id=axn_twn
动物星球1,http://23.26.147.19:1258/Smartv.php?id=animalplanet_twn
CINEMAX,http://23.26.147.19:1258/Smartv.php?id=cinemax_twn
CNBC,http://23.26.147.19:1258/Smartv.php?id=cnbc_twn
DiscoveryAsia,http://23.26.147.19:1258/Smartv.php?id=discoverytwn_twn
DiscoveryHD,http://23.26.147.19:1258/Smartv.php?id=discoveryhd_twn
DiscoveryTurbo,http://23.26.147.19:1258/Smartv.php?id=discoveryturbo_twn
BBCEarthHD,http://23.26.147.19:1258/Smartv.php?id=bbcearth_twn
BBCWorldNews,http://23.26.147.19:1258/Smartv.php?id=bbcnews_twn
BloombergNews,http://23.26.147.19:1258/Smartv.php?id=bloomberg_twn
CBSHD,http://23.26.147.19:1258/Smartv.php?id=cbshd_glo
CBSNHD,http://23.26.147.19:1258/Smartv.php?id=cbsn_glo
ABCNews,http://23.26.147.19:1258/Smartv.php?id=abcnews_glo
BabyTV,http://23.26.147.19:1258/Smartv.php?id=babytv_twn
CBSNews,http://23.26.147.19:1258/Smartv.php?id=cbsn_glo
CNN,http://23.26.147.19:1258/Smartv.php?id=cnn_twn
DiscoveryAsia,http://23.26.147.19:1258/Smartv.php?id=discoverytwn_twn
ELEVEN体育1,http://23.26.147.19:1258/Smartv.php?id=golfchannel_twn
EYETV戏剧,http://23.26.147.19:1258/Smartv.php?id=eyetvxiju_twn
FoxNews,http://23.26.147.19:1258/Smartv.php?id=foxnews_twn
GOODTV真理,http://23.26.147.19:1258/Smartv.php?id=good2_twn
HBO家庭,http://23.26.147.19:1258/Smartv.php?id=fyi_twn
RTHK32,http://23.26.147.19:1258/Smartv.php?id=rhk32_twn
TVBS新闻,http://23.26.147.19:1258/Smartv.php?id=tvbs_n
TVBS欢乐,http://23.26.147.19:1258/Smartv.php?id=tvbshuanle_twn
WWE,http://23.26.147.19:1258/Smartv.php?id=wwe_twn
三立台湾,http://23.26.147.19:1258/Smartv.php?id=sanlitaiwan
三立戏剧,http://23.26.147.19:1258/Smartv.php?id=sanlixiju_twn
三立综合,http://23.26.147.19:1258/Smartv.php?id=sanlizhonghe
中天亚洲,http://23.26.147.19:1258/Smartv.php?id=ctiasia_twn
中天娱乐,http://23.26.147.19:1258/Smartv.php?id=ctient
中视新闻,http://23.26.147.19:1258/Smartv.php?id=zhongshinews_twn
中视新闻,http://23.26.147.19:1258/Smartv.php?id=zhongshinews_twn
中视经典,http://23.26.147.19:1258/Smartv.php?id=zhongshi_twn
亚洲旅游,http://23.26.147.19:1258/Smartv.php?id=asiatravel_twn
八大戏剧,http://23.26.147.19:1258/Smartv.php?id=badadrama
八大第一,http://23.26.147.19:1258/Smartv.php?id=badafirst
八大综合,http://23.26.147.19:1258/Smartv.php?id=badazhonghe
公视,http://23.26.147.19:1258/Smartv.php?id=ctv_taiwan
动物星球,http://23.26.147.19:1258/Smartv.php?id=animalplanet_twn
